line_1,line_2,line_3,source,line1_syllables,line2_syllables,line3_syllables
premier jour de l'hiver,un téléphone sonne,sans réponse ,tempslibre,6,5,3
couleurs d'automne,les images radar,d'une tempête qui arrive ,tempslibre,5,6,8
dernier jour d'été,le chien est couché,dans une tache de soleil ,tempslibre,3,4,8
quarantaine jour 186,il est temps de fermer,les fenêtres à nouveau ,tempslibre,5,6,5
début d'automne,un casque de bicyclette,rempli de feuilles ,tempslibre,4,8,5
nuages épars,ma mère ne ,décrochera pas le téléphone ,tempslibre,4,3,7
quarantaine,le chien aboie,pour rien ,tempslibre,4,4,2
marché à la ferme,toutes les huiles essentielles,dont je n'ai pas besoin ,tempslibre,4,9,6
cigales,attendre que l'aspirine ,fasse son effet ,tempslibre,3,8,5
hélicoptère de la police,parlons de,quelque chose d'autre ,tempslibre,8,3,6
sommeil agité,la cloche rouillée,de la bouée ,tempslibre,4,5,4
immunité de groupe--,des dindes sauvages traversant,une autoroute fréquentée ,tempslibre,6,9,8
pandémie --,le pissenlit essaime,au vent ,tempslibre,2,7,2
plans de pension,le sable de la plage balayé,par le vent ,tempslibre,4,9,3
quarantaine volontaire,sans fanfare,le Bouddha du jardin ,tempslibre,8,4,6
réticents à s'envoler,l'aigrette,et moi ,tempslibre,5,3,2
carnet d'écrivain --,un ferry,bloqué à quai  ,tempslibre,4,3,3
vent du nord --,le cordon tremblotant,d'un mât de drapeau ,tempslibre,3,6,4
lune des moissons --,d'un petit gamin,la première coupe de cheveux  ,tempslibre,5,5,9
lune du loup --,le chien renifle,chaque empreinte ,tempslibre,4,5,5
nuit la plus longue --,nous finissons notre vin,trop vite ,tempslibre,5,7,3
marée haute --,l'odeur d'herbe,sur les docks ,tempslibre,4,4,3
lune décroissante --,ma mère prétend,savoir qui je suis ,tempslibre,5,3,5
maison à vendre --,démantèlement,de la rampe d'accès pour fauteuil roulant ,tempslibre,4,3,10
plan de pension --,le pollen de l’arbre,flotte dans le vent ,tempslibre,4,6,5
nouvelle lune --,la dernière,traite ,tempslibre,5,4,2
lune des fleurs --,dernier arrêt,de l'enterrement de vie de jeune fille ,tempslibre,4,3,12
un mur décoloré,où le miroir,était ,tempslibre,4,4,1
double prestation --,la serveuse de cocktail sert,un whiskey acidulé ,tempslibre,5,8,6
fin de l'été --,une dernière bouteille,de vin ,tempslibre,2,8,2
station de metro vide --,l'accordeon fait une pause,entre les trains ,tempslibre,7,8,4
mauvaise nouvelle --,j'ouvre les fenêtres,pour laisser le froid sortir ,tempslibre,6,5,7
loin de Wall Street,un cormoran,plonge ,tempslibre,4,4,2
maison d'hôte --,les coups de pinceaux baclés,de la chambre d'hôte ,tempslibre,3,6,5
hiver sur la prairie --,les nuages approchent,de la clôture brisée,tempslibre,6,6,6
avis de blizzard --,je voudrais ne pas avoir vu,ce chat noir ,tempslibre,5,8,3
des grenades non mûres --,tout ce qui reste,entre nous ,tempslibre,6,5,3
tonnerre du matin --,le tapeur,commence tôt ,tempslibre,6,3,3
Jour des Morts --,mon visage non rasé,dans le miroir ,tempslibre,3,6,4
dans les ruines,de la maison des dunes,les orchidées sauvages fleurissent ,tempslibre,4,7,10
équinoxe --,nous partageons,la dernière bière ,tempslibre,3,4,6
malgré mes tracas,la fragrance,du chèvrefeuille ,tempslibre,4,4,4
lune gibbeuse --,tout ce qui reste,de l'été ,tempslibre,5,5,1
fin d'été --,j'observe le Dow Jones,tomber ,tempslibre,1,7,2
froid de fin d'été --,d'un jeune homme,l'avis mortuaire ,tempslibre,3,5,5
éclair d'orage --,sa robe de nuit,tombe ,tempslibre,4,5,2
lune de l'esturgeon --,un ancien site,d'inhumation ,tempslibre,6,5,4
nuit sans vent --,une danse lente,des lucioles ,tempslibre,3,6,4
orage en vue --,des enfants qui jouent,avec des allumettes ,tempslibre,5,5,7
dernier rendez-vous --,je disperse ses cendres,sur le lac ,tempslibre,5,7,3
soleil printanier --,une autre tache de rousseur,pour un baiser ,tempslibre,5,9,4
fleurs de cornouillers --,une échographie,de mon nouveau petit-fils ,tempslibre,5,5,7
brouillard matinal --,une seconde tasse,de mauvais café ,tempslibre,5,7,4
Vendredi Saint --,les graines de pissenlit,dans le vent ,tempslibre,4,7,3
Vendredi Saint --,un appel téléphonique,imprévu ,tempslibre,4,6,2
une longue conversation,à propos de Maman --,pluie lente et mouillante ,tempslibre,8,5,7
sur les restes du repas,une dispute à propos,des causes de la guerre ,tempslibre,7,7,7
des nouvelles de sa mort —,la lune d'hiver descend,derrière les arbres ,tempslibre,7,7,6
nuit agitée --,des empreintes de pas,sur la lune ,tempslibre,4,6,4
Un trou dans le brouillard,de ma fille,la nouvelle adresse ,tempslibre,6,4,7
mort d'un dictateur --,le flux et le reflux,de la mer ,tempslibre,5,6,3
veille d'élection --,rentrer à la maison,dans le noir ,tempslibre,4,5,3
fleur de cactus --,je n'avais pas réalisé,qu'elle connaissait mon nom ,tempslibre,4,6,8
défiant,la tristesse de l'automne --,l'érable rouge ,tempslibre,1,8,4
dans la souche creuse,du vieil arbre,des coquelicots en fleurs ,tempslibre,6,4,7
au coeur de l'automne --,une rangée,de maisons de plage vides ,tempslibre,6,4,8
alerte ouragan --,l'ombre du grand arbre,sur notre maison ,tempslibre,6,6,5
lune du chasseur --,elle me demande si j'ai trouvé,ce que je cherchais ,tempslibre,5,9,5
migration d'oies --,personne ne leur demande,d'où elles viennent ,tempslibre,4,8,5
sommeil troublé --,les étincelles,d'un câble à haute-tension ,tempslibre,3,4,6
brume d'été --,quelqu'un murmure,"""l'Alzheimer"" ",tempslibre,2,6,3
crépuscule d'été --,les instructions,pour mes cendres ,tempslibre,3,4,4
sol teinté de sang,là où la plantation de canne à sucre,se trouvait ,tempslibre,4,10,3
Etang de Walden --,toutes les places de parking,occupées ,tempslibre,5,8,3
train bondé --,l'éclat rouge vif,de son rouge à lèvres ,tempslibre,2,4,5
lune de foin --,la fille du fermier,en hauts talons ,tempslibre,4,6,4
l'homme illuminé,portant du rouge à lèvres,sur son col ,tempslibre,5,6,3
nuit sans étoiles --,le croassement sourd,du crapaud ,tempslibre,4,5,3
orage --,un visiteur,de fin de nuit ,tempslibre,3,4,4
nuit nuageuse --,la trappe à souris,claque ,tempslibre,4,5,2
pluie d'été --,le sourire las,du nain de jardin ,tempslibre,1,5,5
ciel menaçant --,le bourdonnement,d'une ligne électrique ,tempslibre,4,5,7
flaque de bord de route,un chien des rues lappe,la lune d'hiver,tempslibre,7,6,5
couple de bikers,recouvrant leurs tatouages,de crème solaire ,tempslibre,5,7,5
vue sur l'ocean --,le vieux chien,en laisse ,tempslibre,4,3,3
grande roue vide --,la dernière fois,que nous nous sommes embrassés ,tempslibre,5,5,7
passant la frontière,sans passeport --,le grand héron bleu ,tempslibre,6,4,4
lune des fraises --,le ruban,dans les cheveux de ma petite-fille ,tempslibre,5,3,11
une autre réunion,avalant,mon café froid ,tempslibre,6,3,3
dans les décombres,de ma maison natale,des fleurs sauvages ,tempslibre,4,7,5
fin d'un long week-end,que le requiem,commence ,tempslibre,5,4,3
honorer ceux qui ont servi,en portant une tenue camouflage,devant la TV ,tempslibre,8,11,3
veillant sur,la pelouse de banlieue,un Bouddha souriant ,tempslibre,3,7,5
lune gibbeuse --,son tatouage,non terminé ,tempslibre,5,4,3
blues du Delta --,une perle de sueur,sur ma bouteille de bière ,tempslibre,4,6,8
front stationnaire --,le même haïku,déjà écrit hier ,tempslibre,5,4,2
invisible au radar,le brouillard qui traîne,entre nous ,tempslibre,7,6,3
nuages d'orage --,il me dit depuis combien de jours,il a été sobre ,tempslibre,6,9,4
lune rose --,un goût,de ce qui vient après ,tempslibre,4,2,5
après la pluie,ma mère oublie,qui je suis ,tempslibre,3,4,3
café bondé --,le barrista se trompe,dans mon nom ,tempslibre,2,7,3
d'une pièce sans fenêtres,la vue sur l'océan,de mon économiseur d'écran ,tempslibre,7,5,7
starless night --,my favorite pub loses,its liquor license,tempslibre,3,8,6
froide pluie de printemps --,où j'ai enterré,les chiots ,tempslibre,6,4,2
verglas --,le médecin voudrait,plus de tests ,tempslibre,2,5,3
nouvelle lune --,l'obscurité,à l'intérieur ,tempslibre,5,3,2
lendemain de mescal --,les cloches de l'église,désynchronisées,tempslibre,6,6,4
nouvelle construction --,on jette à bas,mon enfance ,tempslibre,6,4,4
café du lundi matin,la conversation roule sur,"""The Walking Dead"" ",tempslibre,6,8,4
fin du week-end --,j'ai fini cette bière,trop rapidement ,tempslibre,4,7,5
mon plan de retraite,les rides,dans une flaque de boue ,tempslibre,6,3,7
à la lueur de la chandelle,elle me parle,de ses cicatrices ,tempslibre,7,5,6
"""pluie et neige de printemps""",siffle-t-il,entre ses dents serrées ,tempslibre,7,3,6
lumières de la ville --,l'éclat,du verre brisé,tempslibre,7,1,4
Saint-Patrick --,les premiers bourgeons verts,du vieil arbre ,tempslibre,3,6,4
nuit sans étoiles --,je finis le vin,trop vite ,tempslibre,4,5,3
neige fondante --,l'infirmière cherche,une veine ,tempslibre,5,6,4
une pile soigneuse,de toutes tes lettres,avant que je les brûle ,tempslibre,7,6,6
crickets,en imparfaite,harmonie ,tempslibre,2,5,3
nettoyage de printemps --,la découper,d'une photo ,tempslibre,6,3,4
des nouvelles de sa rechute --,si lente,tombe la pluie ,tempslibre,9,3,4
nuit sans lune --,des excuses faites,à la voix passive ,tempslibre,4,6,5
flocons de neige --,j'essaie de me souvenirs,quand je suis devenu gris ,tempslibre,5,7,7
pluie d'hiver --,un rappel de l'anniversaire,d'un ami décédé ,tempslibre,3,9,3
s'arrêtant,pour le camion de pompiers,les cigales ,tempslibre,2,7,4
zazen —,cette mouche qui se heurte,contre la vitre ensoleillée ,tempslibre,2,8,9
méditation du matin --,un couvercle d'égout,fumant ,tempslibre,6,5,2
pluie d'hiver --,le chien et moi,échangeons des soupirs,tempslibre,3,4,5
bleu pur --,un oeuf de rouge-gorge,cassé ,tempslibre,2,7,1
endormi au volant,le taximen fantôme,de mes cauchemars ,tempslibre,6,6,5
lune gibbeuse --,elle ne raconte pas,toute la vérité ,tempslibre,5,7,4
deux heures de réunion --,les ombres rampent,sur la table ,tempslibre,6,5,4
givre sur le pare-brise --,je me souviens combien,j'ai bu la nuit dernière ,tempslibre,8,6,7
coupes budgétaires --,un croissant de lune,sur l'horizon ,tempslibre,5,6,4
Mercredi des Cendres --,un saupoudrage,de neige ,tempslibre,6,5,3
sirènes de police --,une autre nuit,sans lune ,tempslibre,6,5,3
approche finale -,elle se refait,les sourcils ,tempslibre,6,5,3
neige fondante -,non terminé,le haïku ,tempslibre,5,3,3
Le Dow chute -,des pétales de roses,dans le vent ,tempslibre,4,6,3
entre les doses,de sirop pour la toux,le silence ,tempslibre,5,6,4
flocons de neige -,de mon petit-fils à naître,les doigts parfaits ,tempslibre,5,7,4
coincé derrière,un bus scolaire -,nuages d'orage ,tempslibre,4,5,6
croissant de lune -,elle penche sa tête,contre mon épaule ,tempslibre,5,6,5
conditions hivernales -,une autre glissade,sur Wall Street ,tempslibre,7,7,3
convertis en appartements,le nightclub,où nous nous sommes rencontrés ,tempslibre,8,3,7
dans un endroit sombre,fermente doucement,une bière maison ,tempslibre,6,6,6
nouvelle lune -,le moment pour se couper,la barbe ,tempslibre,5,7,3
je vide la bouteille de vin -,une autre conversation,à propos de Maman ,tempslibre,9,8,5
mon portefeuille d'actions -,des flaques remplies,de pluie d'hiver ,tempslibre,7,5,4
occupying Wall Street,les fantômes,de mes rêves de retraite ,tempslibre,5,3,7
ce rêve récurrent,dans lequel j'actionne l'alarme incendie,et je m'enfuis ,tempslibre,4,12,4
épiphanie -,Jesus et Marie,arrêtés à la frontière ,tempslibre,3,5,5
épiphanie -,le cadeau d'une souris morte,sur le seuil ,tempslibre,3,9,3
pas adoucies,par les tons sepia,les images de guerre ,tempslibre,4,5,7
premier dégel -,quelqu'un aurait du prévenir,les jonquilles ,tempslibre,3,8,4
la neige tourne en pluie -,je me demande quand,tout cela a mal tourné ,tempslibre,7,6,6
la guerre -,des pères,enterrent des fils ,tempslibre,3,2,5
terrorisme local --,des phalènes brumeuses,sur la porte ,tempslibre,6,6,4
lune des moissons --,l'herbe montée en graines,sur le court de tennis ,tempslibre,5,7,6
fumeurs agglutinés --,une autre conversation,sur le Cloud ,tempslibre,5,8,3
feux de détresse,à travers les gouttes de pluie,feuilles d'octobre,tempslibre,4,7,5
stethoscope froid --,je mens au médecin,à propos de l'alcool ,tempslibre,5,5,5
nuit sans étoile --,je ne peux croire,le week-end fini ,tempslibre,4,5,5
après la pluie,une flaque remplie,d'étoiles ,tempslibre,3,6,2
école abandonnée --,une brise douce agite,les mauvaises herbes ,tempslibre,6,9,6
après la conférence,les pigeons font la fête,avec les miettes ,tempslibre,5,6,5
étang calme --,une libellule atterrit,sur la lune ,tempslibre,3,9,4
avis d'orages violents --,un meurtre,de corneilles ,tempslibre,7,3,4
la lumière du jour faiblit --,ma mère pose,deux fois la même question ,tempslibre,8,4,6
ville fantôme --,un coq chante,sans aucune raison ,tempslibre,4,4,6
fin de la route --,trois gros chiens,avec rien à faire ,tempslibre,5,3,5
après la tempête de neige,les rues,n'ont plus de noms ,tempslibre,7,2,4
début d'automne --,les retouches dorées,dans ses cheveux verts ,tempslibre,4,6,5
demi-lune --,quelque chose,que je suis en train d'oublier ,tempslibre,4,4,7
neige mêlée de pluie --,une fin de séance calme,à Wall Street ,tempslibre,5,8,2
une longue réunion --,du marqueur indélébile,sur le tableau,tempslibre,6,6,4
goûtant l'ansinthe,la peinture impressionniste,de la nuit ,tempslibre,5,9,3
encens urbain --,la vapeur qui monte,d'un trou d'homme ,tempslibre,4,6,4
voguant sur les mers,de mon inconscient --,ses bas en résilles ,tempslibre,5,5,5
lune du loup --,soudain je la vois,sous un air différent ,tempslibre,4,5,5
jour de lessive --,la recherche,des chaussettes manquantes ,tempslibre,5,4,7
restes de Noël --,ma mère oublie,pourquoi elle m'a appelé ,tempslibre,4,4,7
le froid soudain--,une fraîche couche de glace,sur la sortie de secours ,tempslibre,4,9,7
pluie et neige --,elle me dit que je parais bien,pour mon âge ,tempslibre,4,9,3
illumination --,une voiture de police,en feu ,tempslibre,5,9,2
nuit de Thanksgiving --,un parking vide,à la maison de vieux ,tempslibre,5,5,5
Thanksgiving pluvieux --,les yeux fixes,d'un chien du refuge ,tempslibre,5,4,6
Thanksgiving pluvieux --,le chien,que personne n'a voulu ,tempslibre,5,2,7
seul au bar,les lettres manquantes,du neon ,tempslibre,3,6,2
nouvelle lune --,le médecin prévoit,une biopsie ,tempslibre,5,4,4
brouillard du matin --,une bouteille vide,de tequilla ,tempslibre,5,7,4
endormi,sur le sol du metro,le soldat inconnu ,tempslibre,3,6,6
Veteran's Day --,le museau gris,d'un vieux chien ,tempslibre,4,4,3
surveillance de tornade --,maintenant disponible,en HD ,tempslibre,8,7,1
l'anniversaire de ma fille --,un ballon d'enfant,au dessus des nuages ,tempslibre,9,5,6
brouillard de printemps --,ma petite-fille pleure,dans mes bras ,tempslibre,5,8,3
un froid soudain --,ma carte de crédit,refusée ,tempslibre,4,5,3
Patriot's Day --,l'affiche délavée,d'un vétéran sans-abri ,tempslibre,3,5,5
crépuscule --,cette chanson,me fait encore pleurer ,tempslibre,3,4,7
Semaine Sainte --,trois arbres nus,sur fond de ciel gris ,tempslibre,5,4,5
brouillard du matin --,la fragrance,du café fort ,tempslibre,5,4,3
vin amer --,le moment pour cette conversation,sur Maman ,tempslibre,3,10,3
le vieux chêne,où nous nous sommes embrassés la première fois,"marqué d'un ""X"" ",tempslibre,3,12,3
nouvelles photos,de ma petite-fille --,crocus en fleurs ,tempslibre,5,7,4
crépuscule --,elle me dit qu'elle a,une brosse à dents de rechange ,tempslibre,3,8,9
croissant de lune --,la plenitude,de ses hanches,tempslibre,5,5,4
étang tranquille --,les kois nagent,à travers le ciel ,tempslibre,4,4,4
temête dans une théière --,ma mère,me sert un déca ,tempslibre,7,2,4
équinoxe --,un dix-huit roues dépasse,la double ligne blanche jaune aux USA ,tempslibre,3,6,12
équinoxe --,partager,la fin du vin ,tempslibre,3,3,4
encore errant,dans le couloir vide --,un parfum bon marché ,tempslibre,5,6,5
surveillance des tempêtes d'automne --,gare à la chute,de la bourse ,tempslibre,10,5,4
terminal vide --,les titres de l'actualité,pour des fantômes ,tempslibre,5,7,4
lune du loup --,le balancement,de ses hanches ,tempslibre,4,5,4
dégel de mi-hiver --,intact,un ticket de loterie ,tempslibre,5,2,7
nouvelle lune --,oublier,les vieilles connaissances ,tempslibre,5,2,7
la page blanche,n'apprendre rien,du pin ,tempslibre,5,4,2
cour de récré abandonnée --,le graffiti,s'estompe ,tempslibre,6,4,3
premier rendez-vous,essayer de ne pas parler,à son décolleté ,tempslibre,5,7,3
croissant de lune --,le chien dort,avec un oeil ouvert ,tempslibre,5,3,6
je dépoussière,les lumières de Noël --,lune gibbeuse ,tempslibre,4,6,5
café froid --,le craquement d'une boule de Noël,sous mon pied ,tempslibre,2,10,3
ses lèvres,incitant les miennes --,publicité d'autoroute ,tempslibre,2,6,7
averses de neige --,de ma petite-fille à naître,le battement de coeur ,tempslibre,6,9,6
la lune ,et mon verre de vin,à moitié vides,tempslibre,3,6,4
décharge publique --,des vieillards,se disputant à propos de politique ,tempslibre,5,3,11
état de la bourse --,une auto a calé,dans le carrefour ,tempslibre,5,6,5
lune du chasseur,je cherche,mes clés ,tempslibre,5,3,1
nuit froide --,je deviens,l'oreiller du chien ,tempslibre,3,3,5
première neige --,un rasage,presque parfait ,tempslibre,5,4,4
nuages de beau temps --,l'échographie,de mon prochain petit-fils ,tempslibre,6,3,7
une vraie merveille du monde --,comment elle remplit,son T-shirt Grand Canyon ,tempslibre,9,6,5
incapable de dormir,incapable de rester éveillé --,un océan lointain ,tempslibre,7,8,5
ma tension monte -,une trainée de condensation,dans le ciel ,tempslibre,5,9,3
crépuscule d'octobre --,comme je voudrais encore voir,juste une luciole de plus ,tempslibre,6,9,9
nuit chaude en ville --,le grésillement,d'un sub-woofer hors d'usage ,tempslibre,6,4,8
détacher,le bouton de dessus de sa blouse,avec mes yeux ,tempslibre,2,10,4
la neige tourne en pluie --,les dernières lueurs,des feux de la charrue ,tempslibre,7,5,6
jours de neige --,plus de blanc que je ne croyais,dans ma barbe ,tempslibre,4,7,4
empreintes dans la neige,des mots,que je ne peux reprendre ,tempslibre,7,2,7
hiver de New London ---,le reflet des bateaux de loisir,enveloppés de plastique ,tempslibre,6,9,7
froid de l'hiver ---,du plastique déchiqueté,sur un fil barbelé ,tempslibre,4,6,5
premier de décembre ---,l'obscurité,avant l'aube ,tempslibre,5,3,4
[premier décembre ---,les bandes délimitantes de la police se cramponnent,à la grange brûlée] ,tempslibre,4,16,4
nuages d'hiver ---,mes cheveux gris,plus gris ,tempslibre,5,4,2
pluie de décembre ---,la longue nuit,plus longue ,tempslibre,4,4,3
une brèche dans les nuages --,ma troisième tasse de café,refroidi ,tempslibre,7,8,3
cieux clairs --,une corneille solitaire,sur un fil à haute tension ,tempslibre,2,9,7
crépuscule de novembre --,les lampes de la rue savent-elles,qu'il est si tôt ? ,tempslibre,7,10,4
crépuscule de novembre --,la chaleur,d'une chanson familière ,tempslibre,7,3,8
ciel couvert --,juste encore un jeu,de solitaire ,tempslibre,3,7,5
encore la pluie --,une souris prise au piège,entre les murs ,tempslibre,5,9,4
nouvelle lune --,une voiture abandonnée,sur l'allée des amoureux ,tempslibre,5,9,7
nouvelle lune --,la souris dans le plafond,s'éveille ,tempslibre,5,7,2
équinoxe d'automne --,mon gant de baseball,juste où je l'ai laissé ,tempslibre,6,6,6
froid soudain --,une mangeoire à oiseaux vide,près de la maison de repos ,tempslibre,3,9,7
lune décroissante --,une affiche écrite à la main dit :,"""chien perdu"" ",tempslibre,5,10,3
vague de chaleur --,le chien se déplace lentement,d'une ombre à l'autre ,tempslibre,5,8,6
brume du matin --,un léger rinçage de la tasse de café,est suffisant ,tempslibre,5,11,4
Memorial Day --,les étoiles obscursies,par une fumée lointaine ,tempslibre,4,6,8
libellule rouge --,de ma nouvelle petite fille,les petits doigts ,tempslibre,6,10,4
coup de froid de juin,du voisin,la maison à vendre ,tempslibre,5,3,5
après la pluie,une lumière sur le trottoir,d'une maison vide ,tempslibre,3,9,6
enfin vendredi --,le chien si attentif,autour du grill ,tempslibre,5,6,4
pluie froide d'avril --,je ne me rappelle plus,ton nom ,tempslibre,5,7,2
pluie froide d'avril --,l'anniversaire de ma fille,sur un autre continent ,tempslibre,5,9,7
dehors pour affaires --,du mannequin nu,les perles de Canaval ,tempslibre,6,5,7
bourdonnement de la caféine --,neige prévue,quelque part d'autre ,tempslibre,9,3,5
nuit sans lune --,une ambulance passe en vitesse,avec sa lampe bleue ,tempslibre,4,12,6
nuit sans lune --,une canette vide,de crème fouettée ,tempslibre,4,7,4
nuit sans lune --,tirant le chien,d'ombre en ombre ,tempslibre,4,4,5
trop branché pour dormir,trop fatigué pour rêver,vent d'hiver ,tempslibre,5,6,3
train bondé --,ses lèvres parfaites,percées ,tempslibre,2,5,2
lune du loup --,le chien,ne veut pas rentrer ,tempslibre,4,2,5
lune bleue --,je me tracasse mes enfants,sont ce soir ? ,tempslibre,3,8,3
froid piquant --,même les lumières de Noël,semblent grelotter ,tempslibre,3,7,5
pluie de décembre --,un appel téléphonique,de mon fils ,tempslibre,4,6,3
pluie de décembre --,la queue d'un daim,et plus rien ,tempslibre,4,4,3
temps couvert d'avril --,mon fils fête ses vingts ans,en Irak ,tempslibre,5,6,3
mars --,un parapluie cassé,traverse la rue,tempslibre,1,5,5
coeur de l'hiver --,un chien errant sniffe,une tasse à café vide,tempslibre,4,6,7
dernier train --,tous les passages surlignés,dans sa bible,tempslibre,3,7,4
une semaine avant Noël,un chien à trois pattes,sniffe la poubelle,tempslibre,8,5,6
train encombré --,un homme saoûl m'offre sa place,pour cinq dollars,tempslibre,3,9,4
faisceau de triage à l'aube --,de nouveaux graffiti,sur le vieux fourgon,tempslibre,7,6,5
équinoxe --,deux citrons verts,dans ma pizza margarita,tempslibre,3,4,8
Jour des Vétérans --,un chien apeuré,à la fourrière,tempslibre,3,4,4
crépuscule,je dirige un étranger,vers le mauvais train,tempslibre,3,7,5
Saint Valentin --,éveillé par un bisou,du chien,tempslibre,4,5,2
brûlant les feuilles --,Kerry a concédé,l'élection,tempslibre,4,4,2
bruits de guerre --,je retire les décorations,de l'arbre de Noël,tempslibre,4,8,5
neige sale,le conducteur parle,avec les écolières,tempslibre,4,6,6
sommeil troublé --,la vapeur monte,d'un égout,tempslibre,3,5,2
18eme anniversaire de ma fille,"les rayons du soleil, chauds",dans ses cheveux,tempslibre,11,6,4
Wall Street --,le plongeon troublant,de son décolleté,tempslibre,2,5,4
planté là,par une petite amie --,étoile filante,tempslibre,1,8,5
cabinet de l'orthopédiste --,toutes les peintures inclinées,légèrement sur le côté,tempslibre,8,9,4
invasion afghane --,le chien,de mon côté du lit,tempslibre,6,2,4
bientôt l'orage --,la fascination de mon fils de douze ans,pour la guerre,tempslibre,4,12,4
couleurs d'automne --,de la réceptionniste,les cheveux rouge vif,tempslibre,5,6,6
premier gel --,je taille,ma barbe grisonnante,tempslibre,3,3,7
trois teintes trop sombres,le rouge à lèvres,sur son col,tempslibre,6,4,3
un nom familier,dans la liste des victimes --,mon café plus froid,tempslibre,5,8,4
entre,les grues de construction silencieuses,la Voie Lactée,tempslibre,2,10,4
la fin de l'été --,ma bière légère,soudain plus sombre,tempslibre,3,4,5
ma fille commence au collège --,une autre pinte de bière,vide ,tempslibre,9,9,2
premier jour de vacances --,étoile filante,sur une nuit sans lune ,tempslibre,7,5,7
train en retard,une fourmi esclade,le mur de la gare,tempslibre,4,7,6
préparant notre voyage,des flashes d'éclair,au delà de l'horizon,tempslibre,6,4,6
éclair dangereux --,elle me regarde,l'observant,tempslibre,4,6,3
dégrafant son soutien-gorge,la lune passe,au-dessus du sommet des arbres,tempslibre,7,5,9
tonnerre lointain --,une averse de pollen,tombe des arbres,tempslibre,5,8,5
la brume monte --,elle repousse ses cheveux,sur son épaule,tempslibre,5,8,4
remise de diplôme de ma fille,je serre le noeud,de ma cravate,tempslibre,10,5,5
cohue dans la gare --,le tap tap,de la canne d'un aveugle,tempslibre,6,3,8
m'observant,dans la glace de la salle de bain,une tache de vieillesse,tempslibre,3,10,8
douzième anniversaire de mon fils,un lapin saute,au milieu de la rue encombrée,tempslibre,11,5,9
soleil de printemps,je marche à travers un nuage,de parfum,tempslibre,5,8,3
le train arrive,une gorgée de plus,d'une tasse de café vide,tempslibre,5,6,8
nuit de noces,les parents de la mariée,dans des lits séparés,tempslibre,4,8,4
neige de printemps --,une femme enceinte se repose,ses mains sur son ventre,tempslibre,5,11,6
crise de l'énergie --,une longue file,à la cafeteria,tempslibre,5,6,5
Mercredi des Cendres --,le prêtre,allume une cigarette,tempslibre,6,2,9
là où la neige sale,rencontre le sel de la route,une douzaine de roses,tempslibre,6,9,8
la neige se confond à la pluie --,ma mère continue à m'appeler,du prénom de mon frère.,tempslibre,8,8,5
partie pour affaire --,le chat qui ne trouve pas sa place,sur ton côté du lit,tempslibre,6,10,4
heure de midi --,le distributeur de billets,avale ma carte,tempslibre,5,8,6
je reluque son décolleté,la plongée profonde,du NASDAQ,tempslibre,7,6,3
le NASDAQ tombe --,la mousse s'accroche,à la pierre tombale rongée,tempslibre,5,6,8
sommeil troublé --,quelque part dans le noir,une porte mal fermée,tempslibre,3,6,7
rêverie de navetteur --,Je suis la fente de sa jupe,dans la foule qui approche,tempslibre,6,9,8
ses épaules bien bronzées,enveloppées dans un pull-over --,fin de l'été,tempslibre,6,9,2
endormie dans le train,la douce montée et descente,de sa poitrine,tempslibre,6,9,5
premier rendez-vous,sous l'éclairage public,nos ombres se tiennent la main,tempslibre,5,6,8
résurrection sous la tente,la femme du prêcheur,en Wonderbra,tempslibre,7,5,4
Mass Pike trafic,la lueur rouge brillant,de son rouge à lèvres,tempslibre,5,6,5
reflétant,le paysage de graffitti,la pluie de Soho,tempslibre,2,8,5
onzième anniversaire de mon fils --,des milles de pluie froide et grise,entre nous,tempslibre,11,10,3
dans le présentoir,une femme voluptueuse,compare les melons,tempslibre,4,8,6
prévision boursière:,record de chaleur,suivi de pluie,tempslibre,5,5,4
cruellement froide,une boite avec de vieilles lettres d'amour,cachée dans le grenier,tempslibre,5,13,6
après quatre heures de sommeil,la neige légère,emplit une tasse vide,tempslibre,8,4,8
des enfants dansent,en rondes dans la pluie --,feuilles d'automne,tempslibre,5,6,5
les feuilles tombent --,déballer les vêtements d'hiver,des coffres de cèdre,tempslibre,5,7,5
chaleur de l'été,mon conditionnement d'air,transpire,tempslibre,3,7,3
fin de l'été --,un haïku en devient,un autre,tempslibre,2,6,3
les Tours Jumelles --,à la place des deux ombres,maintenant le soleil,tempslibre,5,7,6
semeurs de riz --,chaque pas plus profond,dans la boue,tempslibre,4,6,3
cour du temple,à travers le brouillard du matin,les fleurs de pêcher,tempslibre,4,8,4
maison abandonnée --,les enfants cueillent des mangues,dans le jardin,tempslibre,6,8,4
panne de courant,le son lointain,d'un saxophone ,tempslibre,5,4,5
parler de mourir,l'évocation de cette terre,que je n'ai jamais vue,tempslibre,5,8,6
matin de printemps,les mouches reviennent,à la carcasse d'un crabe,tempslibre,5,6,7
les hirondelles migrent,elle me dit,qu'elle priera pour moi,tempslibre,7,4,7
lettre d'outremer,un appel des oies allant vers le sud,perce le fourré,tempslibre,5,10,4
brume de printemps,l'arbre que j'ai pris comme abri,a été planté en souvenir,tempslibre,5,9,6
premières gouttes de pluie,le train de marchandises que j'ai dépassé,il y a deux états,tempslibre,7,10,5
sol dur de l'hiver -,nous nous disputons au sujet,des constellations,tempslibre,5,8,5
