line_1,line_2,line_3,source,line1_syllables,line2_syllables,line3_syllables,haiku
a hawk flies high,traffic crawls,on the highway,haikuzao,4,3,4,a hawk flies high traffic crawls on the highway
thy thorax is as, ripe as a tin of sardines,on a cold evening,twaiku,5,9,6,thy thorax is as  ripe as a tin of sardines on a cold evening
I'm in Kevin Gates, who won't go just let me know,I'll buy your ticket,twaiku,6,7,5,I'm in Kevin Gates  who won't go just let me know I'll buy your ticket
I'll never be your, beast of burden but bourbon,on the other hand,twaiku,5,7,5,I'll never be your  beast of burden but bourbon on the other hand
but i'm waiting for, everything in your world to,align with my world,twaiku,5,8,5,but i'm waiting for  everything in your world to align with my world
the day im able, to give you everything you,deserve you'll get it,twaiku,5,9,6,the day im able  to give you everything you deserve you'll get it
BREAKING NEWS U S, ATTORNEY GENERAL JEFF,SESSIONS HAS RESIGNED,twaiku,4,7,6,BREAKING NEWS U S  ATTORNEY GENERAL JEFF SESSIONS HAS RESIGNED
the well-contented heart be fed,ever as then and all the world,when sails were furled,img2poems,8,8,6,the well-contented heart be fed ever as then and all the world when sails were furled
autumn rain..,the last time to write,dear john again ,tempslibre,3,7,4,autumn rain.. the last time to write dear john again 
If I wanted to, be lonely all the fucking,time I'd be single,twaiku,5,8,6,If I wanted to  be lonely all the fucking time I'd be single
heat lightning,a flash,of his old smile,herons_nest,3,2,5,heat lightning a flash of his old smile
Our votes will be, wasted if we don't attack,gerrymandering,twaiku,5,7,5,Our votes will be  wasted if we don't attack gerrymandering
northern follows jig,body flashes with strike dive,broken line floats up,img2poems,5,9,6,northern follows jig body flashes with strike dive broken line floats up
Outrageous i say, well done I'd do the same if,it was my daughter,twaiku,5,9,5,Outrageous i say  well done I'd do the same if it was my daughter
They're admitting my, baby my heart is so sad,Prayers for baby Kai,twaiku,6,7,5,They're admitting my  baby my heart is so sad Prayers for baby Kai
I love spoiling my, mans Y'all don't understand how,much he deserves it,twaiku,6,8,6,I love spoiling my  mans Y'all don't understand how much he deserves it
I AM GOING TO, SEE BURN THE STAGE TOMORROW,IM SO EXCITED,twaiku,4,8,5,I AM GOING TO  SEE BURN THE STAGE TOMORROW IM SO EXCITED
Jeanette likes to bug, me all morning just so I,can bug her all night,twaiku,7,7,5,Jeanette likes to bug  me all morning just so I can bug her all night
vessels of heavenly medicine,may the breeze,victorious wrong with vulture scream,img2poems,10,4,9,vessels of heavenly medicine may the breeze victorious wrong with vulture scream
Seriously the, people who hate on Meyers,are low life ass holes,twaiku,4,7,8,Seriously the  people who hate on Meyers are low life ass holes
Honestly if Lost, Boy plays in Ludwig one more,time I might transfer,twaiku,5,9,6,Honestly if Lost  Boy plays in Ludwig one more time I might transfer
summer cabin,the ants,do the dishes,sballas,4,2,4,summer cabin the ants do the dishes
once these sex robots, again a consciousness it's,over for you hoes,twaiku,7,7,5,once these sex robots  again a consciousness it's over for you hoes
I'm getting my nails, done Friday but I don't know,what colors to get,twaiku,5,8,5,I'm getting my nails  done Friday but I don't know what colors to get
they also never, had a offense hero from,what i remember,twaiku,5,8,5,they also never  had a offense hero from what i remember
concerned nation is, a responsible nation,lets make it happen,twaiku,6,7,6,concerned nation is  a responsible nation lets make it happen
you must not take them,upon that condition,your bond is cancelled,img2poems,6,6,6,you must not take them upon that condition your bond is cancelled
the love you're looking, for you'll never find because,it starts from within,twaiku,7,8,5,the love you're looking  for you'll never find because it starts from within
I'm an Accountant, To save time lets just assume,that I'm never wrong,twaiku,5,10,5,I'm an Accountant  To save time lets just assume that I'm never wrong
Mac miller was the, gateway rapper for my love,of hip hop I'm sad,twaiku,5,9,5,Mac miller was the  gateway rapper for my love of hip hop I'm sad
getting dared to say, i love you to a classmate,you don't care about,twaiku,6,9,6,getting dared to say  i love you to a classmate you don't care about
The best exercise, I ever did for my heart,was walking away,twaiku,6,7,5,The best exercise  I ever did for my heart was walking away
Roma making me, nervous on a day when I,need to get stuff done,twaiku,5,7,6,Roma making me  nervous on a day when I need to get stuff done
Maybe writing a, horror story set on an,alien planet,twaiku,5,7,5,Maybe writing a  horror story set on an alien planet
Just wondering when, it's gone pay off for being,a good ass female,twaiku,5,7,6,Just wondering when  it's gone pay off for being a good ass female
We absolutely, did not deserve to win this,series Just awful,twaiku,6,8,5,We absolutely  did not deserve to win this series Just awful
President Trump's best, friends and business partners the,Saudis also Bush,twaiku,5,8,5,President Trump's best  friends and business partners the Saudis also Bush
Congratulations, I hope you treat yourself to,something nice Russell,twaiku,5,8,7,Congratulations  I hope you treat yourself to something nice Russell
What'd you do write, a letter to the Gay Make,A Wish Foundation,twaiku,5,8,5,What'd you do write  a letter to the Gay Make A Wish Foundation
cottington,meanwhile,we must begin first where your grace leaves off,img2poems,3,3,13,cottington meanwhile we must begin first where your grace leaves off
When the one person, you want to talk to doesn't,want to talk to you,twaiku,6,6,5,When the one person  you want to talk to doesn't want to talk to you
the quality of, the sound on my new headphones,has me nutting i,twaiku,5,8,5,the quality of  the sound on my new headphones has me nutting i
BUT I WANTED TO, MAKE YOU SOMETHING AND NOW I,FORGOT I FEEL BAD,twaiku,5,9,5,BUT I WANTED TO  MAKE YOU SOMETHING AND NOW I FORGOT I FEEL BAD
Good quote sometimes the, dream is simply i hope luck,in his type of dream,twaiku,8,8,6,Good quote sometimes the  dream is simply i hope luck in his type of dream
They ain't hostile They, just flipped at seeing a time,travelling white man,twaiku,6,8,6,They ain't hostile They  just flipped at seeing a time travelling white man
I'm not even mad, I'm actually laughing,Leah probably,twaiku,5,6,4,I'm not even mad  I'm actually laughing Leah probably
I want somebody, to cook a big ass meal fix,me a fat ass plate,twaiku,6,7,6,I want somebody  to cook a big ass meal fix me a fat ass plate
Getting that bread is, hard work I don't want it no,mo I'm gluten free,twaiku,5,7,5,Getting that bread is  hard work I don't want it no mo I'm gluten free
If you wouldn't do, it in my presence don't do,it in my absence,twaiku,4,8,6,If you wouldn't do  it in my presence don't do it in my absence
My mental health is, bad again I'm going to,go kill myself bye,twaiku,5,6,5,My mental health is  bad again I'm going to go kill myself bye
My boyfriend's parents, have a wedding fund for all,their kids that's legit,twaiku,5,8,5,My boyfriend's parents  have a wedding fund for all their kids that's legit
when i get over, my dependency issues,it's over for u,twaiku,5,7,5,when i get over  my dependency issues it's over for u
this cool morning,enough dewdrops for tea?,issa!,sballas,4,6,2,this cool morning enough dewdrops for tea? issa!
it wasn't that my, mom couldn't cook her heart just,wasn't in it lol,twaiku,4,6,4,it wasn't that my  mom couldn't cook her heart just wasn't in it lol
nor yet o greeks,should this descent my cause,assist save that achilles claim'd the same,img2poems,4,7,12,nor yet o greeks should this descent my cause assist save that achilles claim'd the same
i'm in with noisy metal little nils,a million apologies,i must have made more,img2poems,10,7,8,i'm in with noisy metal little nils a million apologies i must have made more
He once created, a new happy person but,killed her at the end,twaiku,5,7,6,He once created  a new happy person but killed her at the end
Can they also have, a cat or something I want,to see them with cats,twaiku,6,8,5,Can they also have  a cat or something I want to see them with cats
I HATE APPLE GIVE, ME A FUCKING ANDROID IM,TIRED OF THIS SHIT,twaiku,7,7,5,I HATE APPLE GIVE  ME A FUCKING ANDROID IM TIRED OF THIS SHIT
Right those portions be, small as shit I just doubled,my sister plate lol,twaiku,6,7,6,Right those portions be  small as shit I just doubled my sister plate lol
deserves the world Girl, better be able to eat,more than a pizza,twaiku,6,7,6,deserves the world Girl  better be able to eat more than a pizza
OKAY BUT LIKE WHEN, IS CHASE ATLANTIC COMING,TO THE PHILIPPINES,twaiku,6,8,6,OKAY BUT LIKE WHEN  IS CHASE ATLANTIC COMING TO THE PHILIPPINES
AGAIN one good girl, is worth a thousand bitches,Know your worth ladies,twaiku,6,7,5,AGAIN one good girl  is worth a thousand bitches Know your worth ladies
Happy Birthday to, an amazing woman May,your day filled with joy,twaiku,5,7,6,Happy Birthday to  an amazing woman May your day filled with joy
That conversation, with you made my day Planning,my trip as we speak,twaiku,5,8,5,That conversation  with you made my day Planning my trip as we speak
Guys cirrhosis is, a mortal disease Never,get cirrhosis please,twaiku,5,8,6,Guys cirrhosis is  a mortal disease Never get cirrhosis please
Sometimes it's hard to, be selfish but trust me it's,the best for yourself,twaiku,7,7,5,Sometimes it's hard to  be selfish but trust me it's the best for yourself
Having so much to, say but not knowing how to,say it is the worst,twaiku,5,7,5,Having so much to  say but not knowing how to say it is the worst
winter rain??,i search for ways,to be four again,sballas,3,4,5,winter rain?? i search for ways to be four again
Nah these are people, I see walk past me on a,day to day basis,twaiku,7,7,5,Nah these are people  I see walk past me on a day to day basis
And if she ever, left this home I'd have trouble,breathing on my own,twaiku,5,9,5,And if she ever  left this home I'd have trouble breathing on my own
shortest day,birds at the feeders,dawn to dusk,tempslibre,3,5,3,shortest day birds at the feeders dawn to dusk
ok no one let, me spend money for at least,a week oh my god,twaiku,5,7,5,ok no one let  me spend money for at least a week oh my god
really wish i was, in Arkansas eating good,with my family,twaiku,5,7,5,really wish i was  in Arkansas eating good with my family
Imagine Jens as, manager until May then,takes over with Low,twaiku,6,7,6,Imagine Jens as  manager until May then takes over with Low
industrial waste --,an otherwise great,guitar solo ,tempslibre,5,6,4,industrial waste -- an otherwise great guitar solo 
making conscious steps, to create the peace of mind,I've been longing for,twaiku,5,8,6,making conscious steps  to create the peace of mind I've been longing for
Astonishment is no,"more in hand or shoulder, But darkens, and",dies out from kiss to kiss.,gutenberg,6,11,6,"Astonishment is no more in hand or shoulder, But darkens, and dies out from kiss to kiss."
Promise me you won't, die I can't bare the thought of,living without you,twaiku,6,8,5,Promise me you won't  die I can't bare the thought of living without you
It was an endless, crushing darkness Wet and bleak,and suffocating,twaiku,5,7,5,It was an endless  crushing darkness Wet and bleak and suffocating
i so forgot how, unprepared i was for close,family dinners,twaiku,5,9,5,i so forgot how  unprepared i was for close family dinners
Today's stream was great, Thanks for hanging out cant wait,for more tomorrow,twaiku,5,7,6,Today's stream was great  Thanks for hanging out cant wait for more tomorrow
I've never been so, annoyed about a whole day,ever in my life,twaiku,6,8,6,I've never been so  annoyed about a whole day ever in my life
Freak Get real Cesspool, Hollywood are our of,There cages again,twaiku,5,7,6,Freak Get real Cesspool  Hollywood are our of There cages again
Life is really hard, when you feel like you're doing,everything alone,twaiku,6,8,7,Life is really hard  when you feel like you're doing everything alone
Success is getting, what you want happiness is,wanting what you get,twaiku,5,7,5,Success is getting  what you want happiness is wanting what you get
After rewatching, the clip I'm pretty sure the,ref did the right thing,twaiku,5,8,5,After rewatching  the clip I'm pretty sure the ref did the right thing
if you're reading this, something good is going to,happen to you soon,twaiku,6,7,5,if you're reading this  something good is going to happen to you soon
Is it normal to, be this tired every,single morning or,twaiku,5,7,5,Is it normal to  be this tired every single morning or
I have discovered, that I apparently am,too lame for Twitter,twaiku,7,7,6,I have discovered  that I apparently am too lame for Twitter
Paper plates napkins, bacon napkins It's never,once been an issue,twaiku,6,7,6,Paper plates napkins  bacon napkins It's never once been an issue
Just stop covering, what this ass says The crap he,spews is just that crap,twaiku,5,7,5,Just stop covering  what this ass says The crap he spews is just that crap
I SUCK At Calming, Down After Ten Min I Start,Talking Shit Again,twaiku,5,7,5,I SUCK At Calming  Down After Ten Min I Start Talking Shit Again
celia marie Why, is that such a hard concept,for people to grasp,twaiku,5,7,5,celia marie Why  is that such a hard concept for people to grasp
my puppy playing, outside is the happiest,thing i've ever seen,twaiku,4,7,6,my puppy playing  outside is the happiest thing i've ever seen
Things are better when, you're dating someone who's a,giver just like you,twaiku,6,9,6,Things are better when  you're dating someone who's a giver just like you
So John and Charlie, are looking for her booze huh,Good luck finding it,twaiku,5,9,5,So John and Charlie  are looking for her booze huh Good luck finding it
I'm the result of, the abuse of people whom,I trusted in Bye,twaiku,5,8,5,I'm the result of  the abuse of people whom I trusted in Bye
I love Hennessy, and all but damn why you got,me having heart burns,twaiku,6,7,5,I love Hennessy  and all but damn why you got me having heart burns
Wait The closet They're, both nice But whew closet space,is high on my list,twaiku,6,9,5,Wait The closet They're  both nice But whew closet space is high on my list
i'm so talented, at ruining everything,that makes me happy,twaiku,5,7,6,i'm so talented  at ruining everything that makes me happy
naked light bulb,the rain on the leaves,barely audible,tempslibre,4,6,6,naked light bulb the rain on the leaves barely audible
A kind decent man, unlike that piece of human,waste in office now,twaiku,5,9,7,A kind decent man  unlike that piece of human waste in office now
Who'd have thought it'd, actually be coming,out a year later,twaiku,5,6,5,Who'd have thought it'd  actually be coming out a year later
white grave goddess,pity my sadness,o silence of paros,img2poems,6,5,7,white grave goddess pity my sadness o silence of paros
the connection in, the game is fucking garbage,Fix the fucking game,twaiku,5,9,6,the connection in  the game is fucking garbage Fix the fucking game
I believe he got, the job by beating off the,other candidates,twaiku,6,7,6,I believe he got  the job by beating off the other candidates
Once Together with, me The next chapter comes out,it's over for me,twaiku,6,8,5,Once Together with  me The next chapter comes out it's over for me
I just wanna live, in a big ass house out by,the country one day,twaiku,6,8,6,I just wanna live  in a big ass house out by the country one day
That's one fire burn, for your man one wicked screw,up for trap houses,twaiku,6,8,5,That's one fire burn  for your man one wicked screw up for trap houses
there is nothing that controls our thoughts,more than what we think we see,which we label we,img2poems,10,8,5,there is nothing that controls our thoughts more than what we think we see which we label we
Griffin this means a, lot to me Thank you from the,bottom of my heart,twaiku,5,7,5,Griffin this means a  lot to me Thank you from the bottom of my heart
You gone regret not, booking me or working with,me on a project,twaiku,6,7,5,You gone regret not  booking me or working with me on a project
My cousin told me, I like ugly guys WELL DUH,UGLY LOVES UGLY,twaiku,5,8,6,My cousin told me  I like ugly guys WELL DUH UGLY LOVES UGLY
I like you ok, then y u never let me,win at fun run then,twaiku,5,7,5,I like you ok  then y u never let me win at fun run then
I'm elevating, but I still got some of my,old ways left in me,twaiku,5,8,5,I'm elevating  but I still got some of my old ways left in me
so ducking tired, of being needy wet and,it having a dom,twaiku,5,6,5,so ducking tired  of being needy wet and it having a dom
Fallen Man corrects, women should be preaching from,the pulpit amen,twaiku,5,7,5,Fallen Man corrects  women should be preaching from the pulpit amen
I admit when I, see you smile it reminds me,of a lot good things,twaiku,5,8,5,I admit when I  see you smile it reminds me of a lot good things
I'm just sitting here, like I don't have to finish,cleaning up cooking,twaiku,6,9,5,I'm just sitting here  like I don't have to finish cleaning up cooking
will pay someone my, savings account to kill me,by Friday morning,twaiku,6,7,5,will pay someone my  savings account to kill me by Friday morning
WE WILL PILLAGE AND, PLUNDER AND EXTERMINATE,CHRISTMAS ON THIS DAY,twaiku,6,8,5,WE WILL PILLAGE AND  PLUNDER AND EXTERMINATE CHRISTMAS ON THIS DAY
Appreciate your, family whilst you have to,opportunity,twaiku,5,8,5,Appreciate your  family whilst you have to opportunity
The gardener,picks ripe gooseberries For the,Dean's supper to-night.,gutenberg,4,9,5,The gardener picks ripe gooseberries For the Dean's supper to-night.
You should be writing, like a grievance dreaming of,a majority,twaiku,5,9,5,You should be writing  like a grievance dreaming of a majority
stilettos and stockings,the curves of the widow,sleek and sublimate in blacksilk pants,img2poems,6,7,10,stilettos and stockings the curves of the widow sleek and sublimate in blacksilk pants
under azure sky,a small child stands on the stones,ancient abbey stones,img2poems,6,8,6,under azure sky a small child stands on the stones ancient abbey stones
I would rather pay, a huge fine than give back to,the community,twaiku,5,10,5,I would rather pay  a huge fine than give back to the community
Listening to T, D E only until I,go to this concert,twaiku,4,6,5,Listening to T  D E only until I go to this concert
"But, O pigtails","of Rome, still I'm",entrammled in you.,gutenberg,4,5,5,"But, O pigtails of Rome, still I'm entrammled in you."
behold satan hath desired to have you that he may sift you,as wheat,luke xxii,img2poems,17,2,3,behold satan hath desired to have you that he may sift you as wheat luke xxii
the problem is how, do we know if they having,flash backs or not x,twaiku,5,7,4,the problem is how  do we know if they having flash backs or not x
I wanna get my, nails done but I also don't,want to leave this bed,twaiku,5,8,6,I wanna get my  nails done but I also don't want to leave this bed
Never put my trust, in a female always put,my trust in SPALDING,twaiku,5,8,5,Never put my trust  in a female always put my trust in SPALDING
humility,contentment,pride,img2poems,4,3,2,humility contentment pride
Sales Affirmation, My funnel is strong growing,and recession free,twaiku,6,7,5,Sales Affirmation  My funnel is strong growing and recession free
i've been playing a, ton of her on my other,account she owns hard,twaiku,5,7,5,i've been playing a  ton of her on my other account she owns hard
Max was her trusted,"friend, did she confess A closer",happiness?,gutenberg,5,8,3,"Max was her trusted friend, did she confess A closer happiness?"
Deciding if I, should eat cereal even,tho I just ate fish,twaiku,5,6,6,Deciding if I  should eat cereal even tho I just ate fish
Ugly people Just, because you can reproduce,doesn't mean you should,twaiku,5,9,4,Ugly people Just  because you can reproduce doesn't mean you should
Happy birthday to, the richest person in this,university,twaiku,5,7,5,Happy birthday to  the richest person in this university
you are beautiful, valid loved and accepted,never forget that,twaiku,6,8,5,you are beautiful  valid loved and accepted never forget that
I really had no, idea my Twitter was,private this whole time,twaiku,5,6,8,I really had no  idea my Twitter was private this whole time
Officials sucked but, not why we lost didn't help,our cause granted,twaiku,6,6,5,Officials sucked but  not why we lost didn't help our cause granted
That's not a tackle, Stop trying to just put a,shoulder into them,twaiku,5,6,5,That's not a tackle  Stop trying to just put a shoulder into them
FINALLY HOME WHAT, A LONG WEEKEND AMAZING,AMAZING WEEKEND,twaiku,6,7,5,FINALLY HOME WHAT  A LONG WEEKEND AMAZING AMAZING WEEKEND
Sorry guys Just on, the reservoir this year once,conditions are safe,twaiku,5,8,7,Sorry guys Just on  the reservoir this year once conditions are safe
why am i starting, to feel ungrateful with what,i'm having right now,twaiku,5,8,5,why am i starting  to feel ungrateful with what i'm having right now
backroad to church,a pine branch touching,the power line,herons_nest,4,6,5,backroad to church a pine branch touching the power line
Standard practice when, you see your taxes making,an actual change,twaiku,6,7,5,Standard practice when  you see your taxes making an actual change
Now here's a comic, book character that could use,a reboot movie,twaiku,6,8,5,Now here's a comic  book character that could use a reboot movie
wild mustard??,to all the wishes wished here,add this one of mine,sballas,3,9,7,wild mustard?? to all the wishes wished here add this one of mine
early winter...,he chooses to read,old soup recipes,tempslibre,4,5,5,early winter... he chooses to read old soup recipes
fallen tree,on the river,i?ve yet to cross,sballas,3,4,5,fallen tree on the river i?ve yet to cross
That moment when you, receive an I love you text,when you most need it,twaiku,5,9,5,That moment when you  receive an I love you text when you most need it
There's actually, so many things I wish I,could've said to you,twaiku,5,7,5,There's actually  so many things I wish I could've said to you
I hope employees, tweet about me like this when,I give compliments,twaiku,5,8,6,I hope employees  tweet about me like this when I give compliments
The best medicine, we can take right now is the,Lifestyle medicine,twaiku,6,8,8,The best medicine  we can take right now is the Lifestyle medicine
evening fog---,only the sound of high heels,registers ,tempslibre,4,7,3,evening fog--- only the sound of high heels registers 
Anyone selling, coins Looking for a couple,million for someone,twaiku,5,7,6,Anyone selling  coins Looking for a couple million for someone
Don't remember the, last time i actually,got ready for school,twaiku,5,7,5,Don't remember the  last time i actually got ready for school
i'm ready for the, weekend this week bout to fight,my ass with both hands,twaiku,5,7,5,i'm ready for the  weekend this week bout to fight my ass with both hands
everytime you talk, it's all 'bout me but you swear,i'm not on your mind,twaiku,7,7,5,everytime you talk  it's all 'bout me but you swear i'm not on your mind
I seriously, don't see the point of horror,comedy movies,twaiku,4,7,5,I seriously  don't see the point of horror comedy movies
Tom Brady could bring, the janitors at Big Bay,to the super bowl,twaiku,5,7,5,Tom Brady could bring  the janitors at Big Bay to the super bowl
Yo sorry to my, neighbors because I'm goin HARD,on some Brussel sprouts,twaiku,5,8,6,Yo sorry to my  neighbors because I'm goin HARD on some Brussel sprouts
Congratulations, Alastair Cook Couldn't be,happier for you,twaiku,5,6,4,Congratulations  Alastair Cook Couldn't be happier for you
BEFORE I LEAVE TRUST, NOBODY WHO BEHAVES LIKE,A POLITICIAN,twaiku,7,9,5,BEFORE I LEAVE TRUST  NOBODY WHO BEHAVES LIKE A POLITICIAN
If you ever want, to feel poor as fuck just come,to Santana Row,twaiku,5,8,5,If you ever want  to feel poor as fuck just come to Santana Row
Geez Ok I will, attempt to stray from my safe,sweet potato fries,twaiku,4,8,5,Geez Ok I will  attempt to stray from my safe sweet potato fries
snapchat is lucky, i have high streaks otherwise,i'd delete the app,twaiku,5,9,6,snapchat is lucky  i have high streaks otherwise i'd delete the app
This is salvation, Sweetest temptation Siren,abingdon boys school,twaiku,5,7,5,This is salvation  Sweetest temptation Siren abingdon boys school
my quarter pounder, was so fresh tonight that it,wasn't even cooked,twaiku,5,7,5,my quarter pounder  was so fresh tonight that it wasn't even cooked
Love hasn't found me, yet I didn't bother to,look for it either,twaiku,5,6,5,Love hasn't found me  yet I didn't bother to look for it either
Your voice has sung across,"my heart, but numb And mute, I have",no tones to answer.,gutenberg,7,10,6,"Your voice has sung across my heart, but numb And mute, I have no tones to answer."
my sister evan, are my true best friends and i'm,happy about that,twaiku,5,8,5,my sister evan  are my true best friends and i'm happy about that
I literally, rage at my fridge EVERY,TIME I get home late,twaiku,5,9,8,I literally  rage at my fridge EVERY TIME I get home late
the sun climbs in,following to see the end,faithful as enemy or friend,img2poems,4,7,8,the sun climbs in following to see the end faithful as enemy or friend
I can already, feel this summer gonna be,one of the best yet,twaiku,5,7,6,I can already  feel this summer gonna be one of the best yet
My life consists on, waiting for the next time I,am going to eat,twaiku,6,8,4,My life consists on  waiting for the next time I am going to eat
Policy Let me, know how I can help That's a,big part of my world,twaiku,5,7,5,Policy Let me  know how I can help That's a big part of my world
snowmelt,the magpies,not yet paired,herons_nest,2,3,4,snowmelt the magpies not yet paired
happy birthday boss, Have a great one wish you more,coolness and blessings,twaiku,5,10,5,happy birthday boss  Have a great one wish you more coolness and blessings
Sites are down again, hoster destroys err repairs,their D Link cluster,twaiku,7,7,4,Sites are down again  hoster destroys err repairs their D Link cluster
Legit Raindrops is, an instant favorite the,first time I heard it,twaiku,5,8,6,Legit Raindrops is  an instant favorite the first time I heard it
mahmud,but raised above thy fellow-men,by thought as i by power,img2poems,2,10,7,mahmud but raised above thy fellow-men by thought as i by power
In some places they, cancel for a chance of snow,It's ridiculous,twaiku,6,8,5,In some places they  cancel for a chance of snow It's ridiculous
a dialogue between,in weak and strong,people under roofs,img2poems,6,4,5,a dialogue between in weak and strong people under roofs
I really do be, want shake Destiny like bitch,if you don't calm down,twaiku,5,9,5,I really do be  want shake Destiny like bitch if you don't calm down
Y'all don't understand, how happy I am to be,working again lol,twaiku,6,7,5,Y'all don't understand  how happy I am to be working again lol
why is NOBODY, taking one for the team on,plans for halloween,twaiku,5,8,5,why is NOBODY  taking one for the team on plans for halloween
Keenan Allen is, the answer to every,defensive question,twaiku,5,7,6,Keenan Allen is  the answer to every defensive question
joy makes me question, my sexuality and,i cant afford that,twaiku,6,6,5,joy makes me question  my sexuality and i cant afford that
LicK I also feel, this on a spiritual,level Ranch me up,twaiku,5,6,5,LicK I also feel  this on a spiritual level Ranch me up
bulbul blues,a yellow flower floats,in my tea cup,tempslibre,3,6,4,bulbul blues a yellow flower floats in my tea cup
Gather it up,"from the dust, That its sparkle",may amuse you.,gutenberg,4,7,5,"Gather it up from the dust, That its sparkle may amuse you."
Can someone please get, a video of Zach for,me when they meet them,twaiku,7,6,5,Can someone please get  a video of Zach for me when they meet them
I keep forgetting, that Chicago is a girl,this name really sucks,twaiku,5,7,6,I keep forgetting  that Chicago is a girl this name really sucks
My son and daughter, look smack alike I make some,beautiful babies,twaiku,5,10,5,My son and daughter  look smack alike I make some beautiful babies
silence after thunder,a damselfly's,still wings,sballas,7,4,2,silence after thunder a damselfly's still wings
what i don't know,but learn to dread,turns over slowly in my bed,img2poems,4,4,8,what i don't know but learn to dread turns over slowly in my bed
The idea that, I'll be in Australia in,two months is just wild,twaiku,4,7,5,The idea that  I'll be in Australia in two months is just wild
I wanna go out, and dance or just go have a,good time with my girl,twaiku,5,9,6,I wanna go out  and dance or just go have a good time with my girl
It be feeling bad, wen u try n still get the,short end of the stick,twaiku,5,6,5,It be feeling bad  wen u try n still get the short end of the stick
Gotta keep telling, myself that I miss the thought,of you and not you,twaiku,5,7,5,Gotta keep telling  myself that I miss the thought of you and not you
A man that stutters, died in prison he could not,complete his sentence,twaiku,5,7,7,A man that stutters  died in prison he could not complete his sentence
Never meddle with, Window for it is slow to,boot and quick to crash,twaiku,5,7,5,Never meddle with  Window for it is slow to boot and quick to crash
if this was higher, resolution it would be,a great wallpaper,twaiku,5,7,5,if this was higher  resolution it would be a great wallpaper
If she only owns, Snow White on DVD she's,too young for you bro,twaiku,5,5,5,If she only owns  Snow White on DVD she's too young for you bro
Little bird says SEC, guy at top of the list But,might still be working,twaiku,5,7,5,Little bird says SEC  guy at top of the list But might still be working
I just want people, to be able to smell my,fart via email,twaiku,5,7,4,I just want people  to be able to smell my fart via email
James Harden is as, the children would say in his,bag Ridiculous,twaiku,6,7,5,James Harden is as  the children would say in his bag Ridiculous
The Hidden Colors, streams are still my favorite,with you Jeff Patty,twaiku,5,9,5,The Hidden Colors  streams are still my favorite with you Jeff Patty
23 At the great wharf's,"edge Mynheer Kurler stands, And by his side, his","daughter, young Christine.",gutenberg,4,13,6,"23 At the great wharf's edge Mynheer Kurler stands, And by his side, his daughter, young Christine."
Painting is silent, poetry and poetry,is painting that speaks,twaiku,5,5,5,Painting is silent  poetry and poetry is painting that speaks
I'm tired of school, and fake education I,should've been dropped out,twaiku,5,8,6,I'm tired of school  and fake education I should've been dropped out
Adult decisions, that will stress you out picking,out a sectional,twaiku,5,7,5,Adult decisions  that will stress you out picking out a sectional
Oh Lord God Jesus, I really can't do this with,Liverpool tonight,twaiku,5,7,5,Oh Lord God Jesus  I really can't do this with Liverpool tonight
She will not spurn your,"love as before, you have still",the best part of her.,gutenberg,5,10,5,"She will not spurn your love as before, you have still the best part of her."
The simple blink of, an eye from Gaga makes my,heart accelerate,twaiku,5,8,6,The simple blink of  an eye from Gaga makes my heart accelerate
I've ordered one Do, you know when in March they will,be available,twaiku,8,7,5,I've ordered one Do  you know when in March they will be available
overnight showers?,a stray dog sipping,the sunshine,sballas,5,5,4,overnight showers? a stray dog sipping the sunshine
I seriously, cannot wait to have my own,little family,twaiku,4,8,5,I seriously  cannot wait to have my own little family
I could see,nothing behind that,child's eye.,gutenberg,3,5,2,I could see nothing behind that child's eye.
i dove straight into, the ocean while you were still,getting your feet wet,twaiku,6,9,5,i dove straight into  the ocean while you were still getting your feet wet
wildflower field,I go with,the first draft,herons_nest,4,3,3,wildflower field I go with the first draft
He didn't like that, time out granted so on the,next pitch he hits him,twaiku,5,8,5,He didn't like that  time out granted so on the next pitch he hits him
This is basically, I just wanna have sex with,you with no strings Lol,twaiku,6,8,5,This is basically  I just wanna have sex with you with no strings Lol
Wedding Day -,in the bride's eyes,the groom's smile,tempslibre,3,5,4,Wedding Day - in the bride's eyes the groom's smile
thunderstorms,all day long,broken promises,tempslibre,3,3,5,thunderstorms all day long broken promises
Your Sick Demented, Lying For Political,Monetary Gain,twaiku,5,6,5,Your Sick Demented  Lying For Political Monetary Gain
Hope this weather keeps, up til later wanna get,my sweat on later,twaiku,6,7,5,Hope this weather keeps  up til later wanna get my sweat on later
growing sideways,in the deep forest?,a single birch,sballas,5,5,4,growing sideways in the deep forest? a single birch
mid-morning,an ice-crack ricochets,across the river,sballas,3,7,5,mid-morning an ice-crack ricochets across the river
and apologize, Holy cow this gets better,and better each day,twaiku,6,7,5,and apologize  Holy cow this gets better and better each day
This scenario, is about as likely as,Trump telling the truth,twaiku,4,8,5,This scenario  is about as likely as Trump telling the truth
She don't even know, ya middle name watch her cause,she might still ya chain,twaiku,5,9,5,She don't even know  ya middle name watch her cause she might still ya chain
Being at the beach, alone is so odd boredom,amidst all this fun,twaiku,4,9,5,Being at the beach  alone is so odd boredom amidst all this fun
Hardest thing in life, Watching a person uh love,loving someone else,twaiku,6,8,7,Hardest thing in life  Watching a person uh love loving someone else
